Datum,Modell,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-03-16,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-20,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-21,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-22,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-24,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-27,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-28,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-29,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-30,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09349,0.0,0.90651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09349,0.0,0.90651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-05,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09349,0.0,0.90651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-06,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09349,0.0,0.90651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-10,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09349,0.0,0.90651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-11,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09349,0.0,0.90651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-12,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09349,0.0,0.90651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
